name,description
Hossein Alizâdeh,"Hossein Alizâdeh (b. 1950) is an Iranian musician and composer.

Born in Tehran, he was traditionally trained. He learned the Radif of Persian classical music with various masters of the tradition including Houshang Zarif, Ali Akbar Shahnazi, NurAli Borumand, Mahmood Karimi, Abdollah Davami, Yousef Foroutan, and Saied Hormozi, and later recorded the entire body of the Radif based on the interpretation of Mirza Abdullah for tar and setar. He also received a B.A. in Music Composition and Performance from the University of Tehran, and later studied Composition and Musicology at the University of Berlin. He has taught at the University of Tehran and the Tehran Music Conservatory.

Alizâdeh has led a solo career, performing both in Iran and throughout North America, Europe and Asia. He was the conductor and soloist in the Iranian National Orchestra of Radio and Television, established the acclaimed Aref Ensemble and worked with the Shayda Ensemble. His first professional experience in Europe was playing in the orchestra of the famous Bejart Ballet Company in Maurice Bejart's ballet, Gulistan.

Some of Alizâdehs most noted compositions are Ney Navâ (1983), Torkaman (1986), Turtles can Fly (2004), Endless Vision (2004), Under the Cutting Blade (2007) and Ode to Flowers (2007). The album, Endless Vision has been nominated for the Best World Music Album of the Year 2006 in the 49th Edition of the Grammy Awards.

Alizâdeh established the Hamavayan Ensemble in 1989 with a new approach to the traditional Iranian choral singing. Accompanied with traditional instruments, this ensemble has appeared in many of Alizâdeh's compositions including New Secret, Gabbeh, Songs of Compassion and Endless Vision. 

Official Website:"
Mehrdad,
Amir Khalvat,"امیر خلوت رپری که در عرض یک سال و نیم پیشرفت فوق العاده ای داشته.. تکست قوی، استایل فوق العاده، صدای عالی ، از نقات قوت این رپر با استعداد ماست، وی کار حرفه ایش رو با آهنگ خون بها آغاز کرد که مورد استقبال واقع شد، بعد از اون بیکار ننشست و در تب و تاب انتخابات آهنگی با عنوان مرد سبز با حمایت از جنبش سبز پخش کرد که اون کارش شاید هنوزم که هنوزه خیلیها بهترین کارش بحساب میارند، امیر بعد از اون فعالیت زیادی کرد و قبل از ورود به تنبه10 حدود 7 یا 8 ترک قوی بیرون داد که بهترینشون ترک بشمار بوده که این ترک نقش بسزایی در جلب نظر گروه تنبه10 داشت، امیر بعد از اون یه کار قوی با نام رفتیم بالا رسما پخش شد که عضویت امیر در گروه کاملا مشهود شه..

بعد از اون با چند تا ترک به نامهای دست تو جیب، بدو دنبال بازیت، با هم باشیم و برگهای پاییز، باز هم خودشو بعنوان یک رپر با استعداد و قوی ثابت کرد، بعد از حدود 9 ماه عضویت در گروه تنبه10 ، تصمیم به ترک گروه گرفت تا ترک های بیشتری بیرون بده، بعد از اون هم امیر اعلام کرد با اعضای گروه هیچ مشکلی نداشته و فقط بخاطر اینکه دوست داشته تنها کار کنه گروه رو ترک کرده . بعد از حدود کمتر از 2 هفته آهنگ قوی بنام سینه سپر که یک کار گنگ و شاخ بود رو بیرون داد. برای امیر آرزوی موفقیت دوچندان داریم..."
Amir Yeganeh,"امیر یگانه در تیر ماه 62 متولد شد ،فرزند چهارم خانواده موسیقی را از نوجوانی و همراه با ترانه سرایی شروع کرد . در سال 87 اولین آلبوم رسمی او با تنظیم سیروان خسروی به نام ""بی تو تنهام"" وارد بازار شد .
هم اکنون ترانه سرایی و آهنگسازی برای سایر هنرمندان در کنار خوانندگی و ارائه آلبوم شخصی ؛از فعالیتهای کاری او می باشد."
Madjid Khaladj,"Madjid Khaladj was born in Ghazvin, Iran in 1962. At the age of seven, he started studying the tombak with masters Maleki and Badjalan. Through them he inherited the teachings of master Hossein Tehrani, to whom we owe the renaissance of the tombak in Iran.

He has been living in Paris since 1984 and he has been invited to teach the tombak at the ""Centre l'Etudes de Musiques Orientales, Institute de Musicologie, Paris-Sorbonne"". He has introduced the tombak to numerous western percussionists. He is also the founder of the Tombak school for the study of Iranian percussion.

He is a superb solo artist and has accompanied many Iranian master musitions - Hossein Alizadeh, Dariush Tala'i, Mohammad Reza Shajarian, Mohammad Reza Lotfi, Hossein Omoumi and many others.

He has a superb technique and excellent knowledge of Iranian Rhythm. He plays many Iranian percussive instruments: Daf, Dayereh Zangi, Zarbe Zorkhani and Zange sarangoshti."
Arta,Arta. Gyvena Jonavoje. Keletą metų užsiima būtent šio stiliaus muzikos tobulinimu Lietuvoje. Yra įrašęs keletą savo asmeninių gabalų. netrūksta ir grupinių darbų :)
Pouya Bayati,Pouya Bayati is an Iranian Pop Singer. Most of his Songs are Sad!
Donya,
Alireza JJ & Sijal,"Alireza Jazayeri (Persian: Alirezā Jazāyeri - علیرضا جزايری; JJ; born October 20, 1985), better known by his stage name Alireza JJ, is an Iranian rapper, producer, and film director. He was born in Tehran, Iran, and moved to France as a teenager. He gained fame with joining Zedbazi, one of the most popular Persian Hiphop bands.
Alireza JJ has been part of two studio albums, one of them being Zedbazi's first studio album, in which he served as music producer alongside Mehrad Hidden. He currently works with band members Sijal and Nassim, following the band's breakup in 2014.
Alireza JJ and Sijal have put out the albums Pir Shodim Vali Bozorg Na Vol 1-2 to much success and positive feedback,"
Parisa,"Fātemeh Vā'ezi (Persian: فاطمه واعظی), mostly known as Parīsā (Persian: پریسا, born 15 March 1950 in Shahsavar, Iran) is a Persian Classical vocalist and musician.

A student of maestro Mahmoud Karimi, Parissa has published several albums and performed numerous concerts throughout the world, sometimes with Dastan ensemble."
Rastin,"Hailing from his stomping grounds of Tehran, and moving to Sweden in 1988, Rastin has received significant means of influence in creating a signature sound that blends the genres of Classic Pop, Upbeat and Rhythm & Blues, along with Modern Persian beats. With a melodic style that is pure and powerful, drenched in an array of Modern/Traditional tunes, Rastin’s voice paints music with lyrics that evoke a strong sense of romanticism, love, political agenda, and miraculous existence. Comprised of the mega producer, Farid Zoland, and the all time lyricists, Shahyar Ghanbari, Ardalan Sarfaraz , Iraj Jannatie Ataie and Zoya Zakarian who have been collectively, composing a unique sound and poems for the past 40 years. Alongside the pioneers of the era, Farid Zoland, Ardalan sarfaraz, Shahyar Ghanbari and Iraj Jannatie Atie, Rastin is responsible for igniting, Taraneh Nouvin, a 1970's movement in the Iranian/Persian community which transcend the traditional sound to contemporary Pop. As the crew is positioned at the forefront of exposing the world to Taraneh Nouvin, The evolution sparked when Rastin embarked upon his teenage years and began to pay attention to music and the art of singing. Rastin started a band with two of his teenage friends, performing cover songs in accapella; accompanied by the percussion and two, Spanish guitars. In 2000, Rastin relocated to Los Angeles as a means of finishing his studies and promoting himself as an artist. Influenced by such artists who include, Dariush, Ebi, Googoosh, Sting, Andrea Buccelli and Depeche Mode, Rastin began recording career-defining songs. In 2005, Rastin recorded Zalem, a track that was two years in the making; as it took Rastin a significant amount of time to find the perfect Producer/Composer (Farid Zoland), to create the record. As Rastin released his first, full-fledged, studio LP in June of 2008, Simorgh, the album was received with both critical and commercial acclaim. Spawning personal and fan favorite singles that include, Gole Man, Khosh, Hesadat and Zalem, Rastin was also given an opportunity to work with Ravi, a well respected, music video Director. Collectively, Rastin and Ravi were able to create 4, innovative videos to bring some of Rastin's smash hits, to life. Rastin is presently in the studio working on a follow up album that will be released to the public in 2009. Upon official distribution of the new album, Rastin will embark upon a world tour that will span the U.S., Canada, Europe and the Middle East, as well. In honor of the success that Rastin has garnered as the result of a number one, debut album, features in Tapesh Magazine and Javanan Magazine are already in production. Ultimately, Rastin wants his musical and lyrical originality to transcend his career into a level of success where he can simply sing for those who love and appreciate the true artistry of music and sound."
Ziba Shirazi,"Ziba Shirazi is a free spirit determined to spread her message of a better world through poetry and music. She followed her dream, spread her wings and landed in America in 1986. Born and raised in Iran, her style transcends cultures and genres. Her music has an ephemeral quality, a mystical power to convey love, hope and confidence.

  Ziba's music is fresh as a spring breeze, her poetry bold as the summer sun. Her style is neither traditional nor pop, but a fusion of contemporary, Persian folk and American Jazz. Her compositions are a blend of quaint Persian melodies, world music and rich Persian poetry. Her soul radiates the best of ancient Persian culture.

  Ziba is not afraid to experiment, and strives to bring eastern and western music closer together. The progression of her work can be followed in the 6 albums she has produced to-date. In her latest album ""Fresh Breeze"" Ziba combines jazzy improvisation with eastern melodies.

  Her poetry is refreshingly original, her message always bold yet mellow, loving but unforgiving. It is romantic, patriotic, anecdotal, autobiographic, sometimes tinged with irony, sometimes subtle humor. Working her magic, she captures the lover's heart and the listener ' s attention.

  Ziba Shirazi is dedicated to spreading her universal message of love and beauty, of unity and peace."
FG,"FG is a Perth-based, Melbourne-born producer and emcee. In the past he has produced and rapped on a number of albums with the likes of The Funkoars, Muphin, Draino, Terra Firma and Crixus. He can usually be found haunting dusty old record shops muttering ""Need more breaks. Need more breaks.""

FG is one of a few people to be featured on both seminal oz hip hop releases, Culture of Kings 1 and 2."
Nima Masiha,
7 Band,
Zohreh Jooya,"Zohreh Jooya was born in Mashhad, Iran. Her father being from Afghanistan and her mother from Persia, she profited from both cultures.
After high school she moved to Europe to study music. Beginning in Amsterdam she then came to Vienna where she received a classical music education at the ""Academy of Music"" and later earned a masters degree in opera at the ""Conservatoire of the City of Vienna"".
Both the Oriental and the European worlds influence Jooya. Her European classical engagements have been, not only in diverse opera performances throughout many European countries, but also in the performance of the songs of Mozart, Beethoven and Schubert on television and radio shows. Currently she performs at concerts, throughout Europe covering a broad spectrum from Italian baroque music to songs of George Gershwin.
She has created a new way of interpreting the traditional music of Persia, played on original instruments, presented on several albums. Koch International has produced ""Persian Nights"" and Taraneh Music has produced ""Journey to Persia"".
Her albums are an example of the beauty of the diverse ethnic music in Iran. Her works with Majid Derakhshani comprises poetry of Molana Rumi, Shamsodin Mohamad Hafez, Sa'di and Shafii Katkani played on Oriental and European instruments. Published by ARC Music ""Music of the Persian Mystics""She also sings mystical songs from the ancient poet Nezami in ""Shirin and Farhad"", ""The Indian Princess"" and ""Shahresad"" with Parviz Mamnun, Professor of Persian literature.
Her latest album ""Music from Afghanistan"" covers traditional music and songs from the Kabul area. On this album she performs together with the well-known Afghan singer Hamid Golestani. Arranged by the masters Sobeir Bachtiar and Majid Derakhshani featured by the ensemble Afghan, published by ARC.

Official site:"
Circo Cafe,"Circo Cafe is a contemporary rock band in Toronto, They play Persian style of rock with melodic rhythms. ""Circo Kooche"" was released on May, 2011

Band Members:
Bass/Guitar: Ali Kamali
Drum: Shahrouz Molaie
Vocal: Babak Razavi"
Dariush Tala'i,"Dariush Tala'i is one of the great masters of Persian Art Music. He's acknowlegded as one of the finest exponents of both the Tar and Setar. 

Born in 1953 in Iran, he studied persian music with great masters of the Radif. His exceptional talent was recognized at an early age and as a young musician in Tehran, he was admitted to the circle of all the great masters of Persian Classiacal Music.

Dariush Tala'i began learning from the great masters of traditional Iranian music at the age of 11. He acquired an extensive knowledge of theory and a highly accomplished technique on the Tar and Setar. His teachers included the brilliant Tar player Ali Akbar Shahnazi (son of Aqa Hoseyn-Qoli), Nur-Ali Borumand with whom he studied Radif and old compositions, as well as Yusef Forutan, Sa'id Hormozi and Abdollah Davami, with whom he studied Setar and vocal techniques and repertories. 


From 1971 to 1979 he directed the National Radio and Television Ensemble of Iran. In 1975, he received his bachelor degree in the arts from the University of Tehran. In 1979, he moved to France, where he continued his study in musicology.

He has taught classical Persian music at the University of Tehran, the University of Washington in Seattle, as well as at the Sorbonne's Centre for Oriental Music Studies, and the Tehran School of Arts. He has given numerous concerts since 1974, throughout Europe, Iran and the United States.

His collaboration with prestigious artists such as Maurice Bejart, Carolyn Carlson, Michel Portal and with his numerous recordings and concerts throughout Europe and the USA, he has found a place in the western cultural heritage."
Evan Band,
Ali Yasini,
Ahmad Ebadi,"Ahmad Ebādi (Persian: احمد عبادی) (b. 1906 - d. 1992) (1285 - 1371 Š) was an Iranian musician and setar player. Born in Tehran, Iran. He was a member of the most extraordinary family of Iranian music. Ahmad's father, Mirza Abdollah, was arguably the most influential figure in Persian traditional music, and his paternal uncle, Mirza Hossein Gholi, was well-known for his mastery in playing the tar. Ahmad's paternal grandfather, Ali Akbar Farahani, was also a talented musician.

Ebādi started learning music at early age. Mirza Abdollah Farahani taught his son many Iranian songs. At the age of seven, Ebādi was able to play Tombak to accompany his father. Unfortunately he lost his father early, but he continued his education with his sisters, especially Moloud Khanom. 

Ebādi became one of the best setar players of all time: he had a unique style of playing and invented a variety of different tunings for the setar. He had many students, and wrote many pieces for his instrument. For years he played on Iranian radio, especially in a program called Golha, produced by Davood Pirnia. He also recorded many albums. All of them are considered to be masterpieces of Iranian Music.

Ahmad Ebādi died in 1992 and is buried in Emamzadeh Taher Cemetery in Karaj."
Hatef,"Ali Hatefi known as HATEF,Composer,Singer,Poet.Left iran  after Islamic Revolution, He Became famous with the Hit ZANGE TAFRIH in the late 1360's..."
Sasy Mankan,"Sasan Yafteh (born November 2, 1986 in Abadan, Iran), better known as Sasy Mankan is an Iranian Rapper and Pop singer..."
Sussan Deyhim & Richard Horowitz,
Mehrshad,"Mehrshad is a Persian pop singer who often incorporates rap elements into his music.He lived in Mantaghat Hamdan for a while.

More Information :

Official Website 
Myspace 
Facebook"
Shahyad,"Shahyad (Persian:شهياد) Born in Tehran, Iran, is one of the best-selling Persian recording artists today. He is a singer, a musician, and a composer. Some would say “A total package”.
Shahyad is the eldest in the family and has a smaller sister."
Minoo Javan,"Minoo Javan’s voice has found a special place in the hearts of Persians from the far corners of her native land to the great concert halls of Europe and America because of her rare ability to portray her love for Persian culture and her devotion to its people, poets, and artists. Her voice and recordings are heard regularly on the BBC and other broadcasters around the globe. 

Her early musical career began when she rose to prominence by appearing as the featured performer in more than 300 concerts and becoming a regular feature on radio, where she performed Persian Folk songs, among another repertoire. After coming to America, she studied Music at the University Of Southern California’s School of Music, where she was awarded one of its prestigious opera scholarships. Her most recent release is Timeless Persian Treasure. Other recent releases of her recordings include Les McCann Presents The Vocal Stylings Of Minoo Javan All That Jazz but . . . in Persian (YARE DIRIN), Echoes Of Love and Persian Folk Songs."
CatchyBeatz,
Niaz Nawab,"Niaz Nawab is a multi-instrumental musician, singer, and song writer from Tehran, Iran, currently living in Paris, France."
Makan Ashgvari,"Makan Ashgvari is an artist living and working in Tehran, Iran. He works as a musician, singer and songwriter. He is inspired by vocalists such as Nina Simone and Antony Hegarty, and also some Iranian singers like Farhad and has also written music for some theaters and films."
Elaheh,"Bahar Gholamhosseini, better known by her stage name Elaheh (Persian: الهه; born 1934, Yazd, Iran, died August 15, 2007, Tehran, Iran) was one of the best known female vocalists in Iran before the 1979 revolution. Her singing career spanned more than half a century and included several performances for the popular National Radio programme Golha, which was host to many highly esteemed Iranian vocalists. During this time she collaborated with famous Iranian composers and soloists, and the fruits of these collaborations include some of the most popular songs in Persian classical music. She also performed at the Albert Hall, London.

Her best-known songs works include Rosvayeh Zamaneh (Revealed to the World) and Az khoon-e Javanan-e Vatan Laleh Damideh (Tulips grow from the blood of the country’s youth). Her songs were used in the first radio programme on air announcing the new republic. After the Islamic revolution, however, her singing career, like those of many other female singers, came to an abrupt end when female vocalists were banned from public performances. Elaheh then fled the country for the US, where she worked in Los Angeles during the 1980s and 1990s.

While living abroad Elaheh’s career took a controversial turn when she collaborated with the exiled group Mujahidin, which she later denounced as more of an “extremely narrow and strict cult” than an intellectual organisation of freedom fighters.

In an interview with Anne Singleton in September 2005, Elaheh stated that she was lured into collaboration with the Mujahidin through one of its satellite organisations based in Europe. She describes how she was stuck in that situation for several years, unable to perform freely while the Mujahidin failed to meet its full financial commitments to her. Elaheh finally denounced the organisation in 2003 and returned to Iran three months ago where she died of cancer.

Elaheh’s legacy is her much-loved voice and songs which many people, old and young alike, still remember and sing. Last week the National Radio aired a one-hour programme of her songs; it was the first show to feature a female singer in 27 years. And she is to be recognised in Iran for her contribution to music. Elaheh once stated: “What I am sure of is that my legacy is my voice and that for years to come people will enjoy my voice and my songs. These belong to Iran and the world of music.”

She was married three times; two husbands survive her as well as four sons and one daughter."
Arad Aria,"Name : Arad Aria
Born : march 27,1985
Occupation(s): Composer,arranger,singer
Instrument(s): Violin,acoustic guitars,vocals
Album: Hamechiz,Hamekas-2006(in persian)
Lable: Irangaam
Official web site:"
Golpa,Golpa is a very popular singer in Iran for the past 50 years. He is popular among young and old Iranian people. His songs are mostly in traditional music of Iran ( or persian musics )
Bijan Chemirani,"Bijan Chemirani is a Persian musician. 

Bijan Chemirani began studying zarb early on with his father Djamchid and his brother Keyvan. He also plays the daf, riqq, and cajon. He has worked with many musicians including Ross Daly and Στέλιος Πετράκης. 

He is also part of the Chemirani Trio along with his father and brother."
Homayra,"Homeyra (Persian: حميرا) is the stage name of Iranian singer Parvaneh Amir-Afshari (Persian: پروانه امير افشاری). She is a veteran celebrity of Iran's Golden Years of music. Her voice has been measured to span three octaves. She currently continues her music career from Los Angeles, her home since her exile after the Iranian Revolution.
Contents

    1 Early life
    2 Overnight fame
    3 Recent Events
    4 Discography


1- Early life:

Homeyra was born 1945 to an aristocratic Iranian family in East Iran. Her family’s distinction is still evident as the name of Amir-Afshari is, to this day among eastern Iranians, synonymous with affluence. Her father was a Malek (Grand Landlord) who owned over 150 towns in Iran. Her family's eminence was later to be an opposing factor in Homeyra's passion for singing.

She was exposed to Persian music from an early age. Her family often hosted large dinner parties to which Iran's greatest musicians and singers were invited for guest entertainment. Revering other musicians and singers, the young novice became interested in singing. Her father took notice of this and diligently curtailed her exposure further. He also forbade her from performing in presence of non-family members and insisted if she must sing, then she do so only for him. He and the matriarchs of the family saw her singing as a disgrace to the family's name.

At age 16, Homeyra married a German-educated Iranian businessman. He allowed her more freedom and encouraged her to sing professionally. So she took music lessons and also signed up for voice training courses. She secretly attended composer Ali Tajvidi's classes for two years, leading her father to believe she was learning to drive a motor vehicle.


2- Overnight fame:

Homeyra's leads pulled her into the Iranian music scene soon after her participation in musical lessons. While attending Tajvidi's classes, he composed a song for her and persuaded her to record it as a single for release. Despite her reservations, she agreed and when the song ""Sabram Ataa Kon"" was played on Iran's radio stations, she became an overnight sensation, and this at age 18. However, in order to disguise herself from the exposure, she chose Homeyra as the name to which this song was to be attributed. It was said this was a first for a debutante singer to gain such quick renown throughout Iran with just a hit single.

The enthusiastic record companies were soon to vie for the copyright to the song for wider distribution. When it was officially released in an album, Homeyra's father, recognizing her voice, tried a last minute effort to quell her career. He purchased every single album he could find – both legal and pirated copies – to remove the remnants of his daughter's voice from reach. However, some of the copies fell into the hands of loyal fans and he could not stop the furor of Homeyra's fame thereon. He has refused to speak to her ever since and the two became estranged.


3- Recent Events:

On August 22, 2009, Homeyra had a unique concert with Michael and Pouya in New York. After the presidential election 2009 in Iran, Homeyra sang the song ""Jahan Kharan"" for all Iranians suffering from the frauds around the elections. Therefore her fans call her ""golden stone in persian music"". In February 2010 Homeyra announced that she will start a good bye tour very soon called ""toure khodahafezi"". This tour will be placed in over 50 cities around the world. On March 6, 2010, she performed in Toronto and the concert was sold out. On youtube (Homeyra, Toronto) you can see how excited fans are when Homeyra comes to the stage. The last female singer of the ""great generation"" is loved by millions and with her unique voice she is one of the few guarantees for a high class level Persian music in our days. Her new album will be released in 2011.


4- Discography:

    Ghanari
    Bahar Bahare
    Vaghti ke Eshgh Miad
    Sar Nevesht
    Montazer Bash
    Ham Zaboonam
    Gozashteh
    Golbarg
    Eshgh-O-Erfan
    Entezar
    Bahar-E-Zendeghi
    Darya Kenar
    Darvishan
    Bahar-E-Eshgh
    KhabKhial
    Hedieh
    Mahtab-E-Eshgh"
Hamavayan Ensemble,"Led by Iranian master instrumentalist and composer Hossein Alizâdeh, the Hamavayan Ensemble was formed in 1370 S.H. (1991 C.E.) in Iran, as the primary research and performance source of Iranian choral music. Since then, it has been comprised of many different instrumentalists and vocalists, according to the needs of each musical piece and the related research. The Hamavayan Ensemble performs new interpretations of classical Persian music. The ensemble features male and female vocalists, tar and setar (ancient plucked lutes from Persia), and percussion.

The ensemble has expressed its artistic work in many venues and recordings. It has performed in every continent with multiple performances in Iran, Canada, Europe, Japan, and the United States.
Film scores produced by the ensemble include, Del-shode'gan, Gabbe', Zesht-o Ziba, Ancient Inheritance, and Newmang. Its commercial recordings include Avaye Mehre (Songs of Compassion), Raz-e No (Virgin Revelations), Birds, and Ode To Flowers.

Members:
Hossein Alizâdeh (tar, tanbur, shourangiz)
Mohsen Keramati (vocal)
Afsaneh Rasaei (vocal)
Homa Niknam (vocal)
Pouria Akhavass (vocal)
Ali Samadpour (vocal, damam)
Dariush Zargari (tombak)
Madjid Khaladj (tombak)
Pejman Hadadi (tombak)
Ali Boustan (setar, oud)
Nima Alizâdeh (robab)
Saba Alizâdeh (kamancheh)"
Idin,"The young Persian-American artist merges Middle Eastern melodies and words along with Western influenced jazz, trance, and pop sounds to create an energized, powerful musical experience all of his own. Idin (Persian: آیدین) uses his phenomenal ""Voice"" as more than just a sound, but as an instrument unto itself that seamlessly blends the different musical influences to produce what is sure to develop into an entirely new genre of music. Idin is clearly the new ""Voice"" of his generation.

For Idin, music is not just something to listen to...""I don't just listen to a song, I breathe it, I live it. Music is my life energy and inspiration, just as my mother is to me, famous Persian singer, Shourangiz. I grew up in a household where music and singing was just as important as our daily meal, I couldn't, and still can't go through a single day without singing for a couple of hours. Some people cry when they're sad, some people go out and run when they're angry; I sing, I listen to music, I write lyrics and I create sounds."" -Idin

Born in Anaheim, California on March 8, 1984, Idin is still strongly influenced by his Persian heritage. When Avang Music gave Idin the chance to work on his own original album in 2003, Idin relished the opportunity. Since then, two successful albums have been released. ""The Voice"" released in the fall of 2004, which won Iran international recognition out of 26 countries at the Asian International Song Festival, in Goa, India, winning Iran first place with his hit song, ""Dooset Daram"". ""Guess"" released in the fall of 2006, which included hit songs such as ""Yadam Toro Faramoosh"", ""Hads Bezan"", ""Yeckie Nist"" and ""Iran"".

Eworldrecords.com, the largest online store for Middle Eastern music, states ""Idin is truly a unique and pioneering force in the Persian music industry."" Avang Music Co. continues to celebrate their young artists success and as quoted by the record label themselves in a widely respected Persian entertainment magazine known as ""Javanan"", it was stated: ""Idin is quite clearly the hope of Avang Music Company's future"".

""I thank and respect all the Persian singers who have helped keep Iran's music alive to date, and allowed young singers like myself, with a new spin on Persian music, to express ourselves and take Persian music to a new generation. My goal is to create music that all cultures and nationalities can listen to and enjoy regardless of the language barrier. In my opinion good music doesn't have to be in a language you understand, it simply has to move you and emotionally touch you. My music may not be for anyone, or it might be for everyone...time will tell."" -Idin"
Persian Rugs,"1. Persian Rugs are an indiepop band from Toronto, Ontario, Canada.  Former members of The Airfields and The Diableros.  Cloudberry Records released their debut single ""Always All"" in May 2011.  Their sophomore single will be available in early 2013.

2. An 80's post punk band from Edinburgh, Scotland.

3. Hoodoo Gurus officially split in 1998, reforming occasionally for concerts.  In 2002, Hoodoo Gurus members Dave Faulkner, Brad Shepherd, and Mark Kingsmill joined with bassist Kendall James and recorded an EP entitled Mr. Tripper under the name Persian Rugs."
Hamid Talebzadeh,
Mehdi Yaghmaei,
Daygard,
Javād Ma'roufi,
Ahmadreza Nabizadeh,
Hossein Tohi,"Seyyed Hossein Mousavi, known by his stage name Hossein Tohi (Persian: حسین تهی), is an Iranian rapper. He was born on 26th of January 1986 in the Iranian capital of Tehran. Based on his passion for rap music he started his career already in the age of fifteen. Finally 2 years later, in 2002 he began his professional career as a rap artist. Since 2000 Tohi has created the remarkable number of 40 songs with a variety of subjects such as love songs, religious and society related songs.

The songs ""Raghse Andam"", the dance of the shapes, and ""Keylead"", the key, are two of Tohi's most famous hits that count on a considerable fan community. In an interview Tohi admitted that ""Boghz"", Sobbing, is his own choice as favorite song. Tohi's main, not to say the only target is to cross the Persian speaking boundaries making the Iranian rap internationally noticeable. The diversity of the lyrics in his songs is definitely the reflection of his enthusiastic approach to achieve that target. As of today Tohi's live concerts are holding within the Persian events. So Tohi's potential to come internationally through is predictable by the size of his today's mass appeal. Taking into consideration that his homeland, Iran does not provide sufficient opportunities to such an artist developing himself. Tohi has always succeeded to follow his target highly professional and quick. Tohi loves to support other talented Iranian rap musicians wherever he meets them. So he established his own company called ""Estedade No"", the New Talent to help and promote young artists.

Despite his success, his new style of music has also come under heavy criticism for its western-ism. Tohi does not incorporate Iranian features into his music and this frustrates older generation Iranians, who feel the Persian culture is disintegrating."
Tanbe10,"گروه تنبه10 که فعالیت خودشو حدود 2 سال و نیم پیش بصورت حرفه ای اغاز کرده از جمله گروه های موفق و حرفه ای در سطح رپ فارس به حساب میاد که در ابتدا رضا موتی که سبک اصلیش راک بوده ولی بعدش با مهدی الفا اشنا میشه و در گروهی به نام 3گام فعالیت خودشونو در رپ اغاز میکنن بعدش با Aemha که از دوستان مهدی الفا بود و ساکن المان هم بود گروه تنبه10 رو تشکیل میدن و البومی به نام ارتش تنبه10 که اعضای TM BAX هم درش حضور داشتند(شاهین لو)
میدن.و بعدش با علی10 اشنا میشن و گروهی حرفه ای متشکل از(رضا موتی-مهدی الفا-Aemha-علی10) به نام تنبه10 رو تشکیل میدن که در سبک هیپ-هاپ مشغول به کار میشن که سبک خاص خودشونو دارن و تقریبا سبک غربی خاصی دارند که رضا موتی تنها عضو این گروه هستش که R&B هم کار میکنه و اهنگساز شماره1 گروه به حساب میاد(بقیه هم اهنگسازی میکنن) در ادامه 2 عضو جدید(پرهام سزار-پوریا شارلاتان) به گروه اضافه میشن که پوریا شارلاتان همون (ژوکر)سابق هستش که تنها عضو این گروه که اهنگسازی نمیکنه.پرهام سزار هم از رپرای گیلان بود که کاراش با دامون هاینس قبلا پخش شده که تنبه10 برای استعداد یابی به رشت رفته بود پرهام سزار رو پیدا میکنن که پرهام هم به تنبه10 ملحق میشه."
Ali Samadpour,"علی صمدپور (زادهٔ ۱۸ خرداد ۱۳۴۹) آهنگ‌ساز ایرانی است که در سال ۱۳۴۹ در آبادان به دنیا آمد.

او در سال ۱۳۷۶ به عضویت گروه هم‌آوایان درآمد.

صمدپور از پی یک همکاری ۱۰ ساله با حسین علیزاده و با ساخت موسیقی برای سه فیلم کوتاه، از جمله از پس برقع ساخته مهرداد اسکویی، برای همکاری در ماهی‌ها عاشق می‌شوند به رفیعی معرفی شد.

صمدپور بعد از ماهی‌ها عاشق می‌شوند با موسیقی دو فیلم از فریدون جیرانی با نام ستاره‌ها (جلد یک و سه) در جشنواره سال ۱۳۸۴ شرکت کرد.  وی هم‌اینک مدیر بخش موسیقی نشر ماهریز می‌باشد"
Hooman Ajdari,"Iranian Rock artist currently living in Tehran, Iran. Hooman is writing and arranging his songs in rock and country rock styles. These days there are the number of concerts in Tehran, and around Iran, where Hooman performs his old hits and new songs. To learn more about Hooman Ajdari art, you may refer here: 

Facebook\Official Fan Page : 

Youtube Channel :"
Mahan Bahram Khan,
Khashayar Etemadi,
Bijan Bijani,
Saeid Shahrouz,سعید شهروز خواننده پرطرفدار ایرانی متولد ۱۳۵۰ در تهران می باشد.از همان دوران نوجوانی علاقه او به موسیقی باعث شد در مقابل مخالفت های پدرش به این عرصه قدم بگذارد. شهروز فعالیت رسمی و حرفه ای خود را از سال ۱۳۷۶ آغاز کرد که کارهایش تا کنون مورد استقبال هواداران و منتقدین قرار گرفته است. سال ۱۳۷۸ با ارائه پسرای مشرقی اولین آلبومش را منتشر کرد و در سال ۷۹ توجه همگان را با انتشار آلبوم غزلک به خود جلب کرد. آلبوم پسرم در سال۸۴ هفتمین آلبومی بوده که با خوانندگی او وارد بازار شد.آلبوم بی خوابی بهترین آلبوم سال ۱۳۸۷ از نگاه کارشناسان و اهالی موسیقی شناخته شد. او تاکنون ۸ آلبوم روانه بازار کرده است.
Fataneh,
